GeneID	HZHBY	HZHBZ	HZHCA	HZHCB	HZHCC
jgi.p|Suilu4|1304551	0	0	0	0	0
jgi.p|Suilu4|1304559	0	0	0	0	0
jgi.p|Suilu4|1305539	0	0	0	0	0
jgi.p|Suilu4|1312469	40	53	50	62	41
jgi.p|Suilu4|1312820	500	860	524	619	423
jgi.p|Suilu4|13134	0	0	0	0	0
jgi.p|Suilu4|1314131	1968	4063	1923	2157	1587
jgi.p|Suilu4|1314824	221	354	276	257	241
jgi.p|Suilu4|1315209	22	32	19	27	37
jgi.p|Suilu4|1315332	1301	2266	935	1080	849
jgi.p|Suilu4|13166	274	410	211	289	210
jgi.p|Suilu4|1318747	0	0	0	0	0
jgi.p|Suilu4|13233	249	480	199	276	207
jgi.p|Suilu4|13248	0	0	0	0	0
jgi.p|Suilu4|13249	0	0	0	0	0
jgi.p|Suilu4|1325056	1045	2059	1113	393	277
jgi.p|Suilu4|1325820	448	774	504	923	875
jgi.p|Suilu4|13271	23	37	38	43	42
jgi.p|Suilu4|133043	128	431	332	173	598
jgi.p|Suilu4|13317	557	882	454	1275	1076
jgi.p|Suilu4|1332866	121	244	167	323	310
jgi.p|Suilu4|133330	0	0	1	0	0
jgi.p|Suilu4|1333401	176	312	108	186	127
jgi.p|Suilu4|1334770	124	160	135	142	142
jgi.p|Suilu4|1336358	436	734	348	1112	1279
jgi.p|Suilu4|13383	280	593	360	532	523
jgi.p|Suilu4|133835	19	43	21	21	13
jgi.p|Suilu4|133891	24	35	19	10	10
jgi.p|Suilu4|134435	81	149	84	106	88
jgi.p|Suilu4|134477	144	162	70	91	59
jgi.p|Suilu4|13454	205	425	239	305	218
jgi.p|Suilu4|1346549	48	48	16	31	31
jgi.p|Suilu4|1349906	61	109	24	90	54
jgi.p|Suilu4|13513	979	1423	730	1061	1086
jgi.p|Suilu4|1352687	347	390	295	360	297
jgi.p|Suilu4|13528	6	7	5	4	5
jgi.p|Suilu4|13530	156	277	175	200	190
jgi.p|Suilu4|13532	84	115	69	132	146
jgi.p|Suilu4|13535	126	151	78	133	107
jgi.p|Suilu4|1354159	667	1006	518	688	620
jgi.p|Suilu4|1357145	0	0	0	0	0
jgi.p|Suilu4|1357248	0	0	0	0	0
jgi.p|Suilu4|1358846	49	50	22	52	24
jgi.p|Suilu4|136157	50	75	44	44	21
jgi.p|Suilu4|136170	87	156	99	108	79
jgi.p|Suilu4|136356	20	35	17	61	23
jgi.p|Suilu4|136381	73	130	96	102	102
jgi.p|Suilu4|13649	0	0	0	0	0
jgi.p|Suilu4|13650	0	0	0	0	0
jgi.p|Suilu4|1366270	401	564	295	305	237
jgi.p|Suilu4|1366764	451	669	430	345	238
jgi.p|Suilu4|13700	0	6	4	11	4
jgi.p|Suilu4|1372087	117	188	95	197	148
jgi.p|Suilu4|13725	52	77	31	83	60
jgi.p|Suilu4|13727	0	0	0	0	0
jgi.p|Suilu4|137535	689	656	845	791	730
jgi.p|Suilu4|13788	0	0	0	0	0
jgi.p|Suilu4|1380385	0	0	0	0	0
jgi.p|Suilu4|13815	0	0	0	0	0
jgi.p|Suilu4|138214	0	0	0	0	0
jgi.p|Suilu4|13836	0	0	0	0	0
jgi.p|Suilu4|13840	274	525	326	973	1191
jgi.p|Suilu4|13855	0	0	0	0	0
jgi.p|Suilu4|13858	0	0	1	0	1
jgi.p|Suilu4|13867	11	33	5	25	15
jgi.p|Suilu4|13881	427	693	361	598	333
jgi.p|Suilu4|1389660	388	638	383	476	442
jgi.p|Suilu4|1390755	336	549	334	155	166
jgi.p|Suilu4|139175	378	588	332	537	393
jgi.p|Suilu4|1397871	172	281	190	226	202
jgi.p|Suilu4|13992	0	0	0	0	0
jgi.p|Suilu4|139976	5209	7389	4245	5833	4074
jgi.p|Suilu4|1401121	138	214	208	346	222
jgi.p|Suilu4|14022	662	1071	780	629	536
jgi.p|Suilu4|140371	159	269	71	168	310
jgi.p|Suilu4|14048	32	46	24	35	23
jgi.p|Suilu4|1407621	134	227	112	117	104
jgi.p|Suilu4|14101	4116	8140	3164	3131	2164
jgi.p|Suilu4|141056	18	15	2	7	10
jgi.p|Suilu4|1412241	6	10	0	0	2
jgi.p|Suilu4|1412618	139	233	134	119	105
jgi.p|Suilu4|141593	682	1100	673	529	527
jgi.p|Suilu4|14192	116	204	96	214	163
jgi.p|Suilu4|14194	0	0	0	0	0
jgi.p|Suilu4|1422046	844	1152	715	590	485
jgi.p|Suilu4|1423986	4351	8021	3781	6169	5034
jgi.p|Suilu4|14243	19	33	36	26	9
jgi.p|Suilu4|1424545	5342	9165	4619	4557	3611
jgi.p|Suilu4|1426435	2115	3106	1714	3081	3113
jgi.p|Suilu4|14266	1	3	0	3	2
jgi.p|Suilu4|142902	4	4	0	1	2
jgi.p|Suilu4|142925	1103	1846	976	1415	1198
jgi.p|Suilu4|1430511	102	227	165	142	149
jgi.p|Suilu4|14324	286	522	340	437	307
jgi.p|Suilu4|1435914	289	435	267	469	417
jgi.p|Suilu4|1436289	408	642	449	352	330
jgi.p|Suilu4|1440046	1019	1624	1233	1152	1008
jgi.p|Suilu4|14402	19	45	24	34	22
jgi.p|Suilu4|1440398	695	1036	646	1131	1044
jgi.p|Suilu4|1441237	167	315	260	289	178
jgi.p|Suilu4|1442499	14	6	4	0	2
jgi.p|Suilu4|1442503	3202	5156	3147	2838	1931
jgi.p|Suilu4|1444344	593	1163	696	395	265
jgi.p|Suilu4|1446962	94	190	100	110	107
jgi.p|Suilu4|14478	226	455	265	388	249
jgi.p|Suilu4|144780	21	40	27	37	38
jgi.p|Suilu4|144787	498	1019	607	549	561
jgi.p|Suilu4|1448480	2107	3719	2061	1066	1255
jgi.p|Suilu4|14510	223	339	288	274	226
jgi.p|Suilu4|14538	0	0	0	0	0
jgi.p|Suilu4|14547	0	0	0	0	0
jgi.p|Suilu4|14550	0	0	0	0	0
jgi.p|Suilu4|14553	0	0	0	0	0
jgi.p|Suilu4|14554	0	0	0	0	0
jgi.p|Suilu4|14555	0	0	0	0	0
jgi.p|Suilu4|14556	0	0	0	0	0
jgi.p|Suilu4|14573	0	0	0	0	0
jgi.p|Suilu4|1466395	445	587	269	141	88
jgi.p|Suilu4|14702	0	0	0	0	0
jgi.p|Suilu4|1472095	733	879	492	458	342
jgi.p|Suilu4|14744	499	840	538	493	504
jgi.p|Suilu4|14770	195	318	195	168	152
jgi.p|Suilu4|1477276	748	1128	935	1999	2697
jgi.p|Suilu4|14781	0	0	0	0	0
jgi.p|Suilu4|14782	0	0	0	0	0
jgi.p|Suilu4|147861	52	81	28	97	96
jgi.p|Suilu4|1478932	105	176	64	83	98
jgi.p|Suilu4|1479889	482	799	271	173	131
jgi.p|Suilu4|1481723	54	105	71	44	21
