GeneID	GO_Term
70279	"GO:0035023,GO:0005622,GO:0005089"
70442	"GO:0016020,GO:0005515,GO:0005509"
70883	"GO:0008270,GO:0003676"
71165	"GO:0035091,GO:0007154,GO:0005515"
71354	"GO:0006396,GO:0004525,GO:0003723,GO:0016443"
71471	"GO:0008152,GO:0051539,GO:0009316,GO:0009098,GO:0003861"
71527	"GO:0008270,GO:0003676"
71896	GO:0008120
72033	"GO:0016491,GO:0008152,GO:0008678"
72187	"GO:0005975,GO:0004553"
72605	"GO:0016020,GO:0008324,GO:0006812"
73342	"GO:0046873,GO:0030001,GO:0016020"
73343	"GO:0016787,GO:0008299,GO:0004452"
73397	GO:0004338
73451	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
73790	"GO:0035091,GO:0007154,GO:0005515,GO:0008152,GO:0003824,GO:0004630"
74156	"GO:0016758,GO:0016051,GO:0047216"
74340	GO:0004364
74397	GO:0004032
74580	"GO:0008474,GO:0006464"
74851	"GO:0007018,GO:0005875,GO:0005524,GO:0003777"
75014	GO:0047953
75107	"GO:0006350,GO:0005634,GO:0003899,GO:0003677,GO:0046983"
75720	"GO:0005975,GO:0004801"
75797	"GO:0008270,GO:0051444,GO:0051443,GO:0051440,GO:0051438,GO:0004842"
75879	"GO:0008270,GO:0003676"
75972	"GO:0006457,GO:0003755,GO:0016567,GO:0004842,GO:0000151,GO:0042027,GO:0030051,GO:0004600"
76064	GO:0015031
76397	"GO:0006334,GO:0005634,GO:0003677,GO:0000786"
76506	"GO:0050660,GO:0017150,GO:0008033"
77396	"GO:0008270,GO:0005515"
77574	"GO:0006725,GO:0006118,GO:0004497,GO:0016491,GO:0008152,GO:0018658"
77655	"GO:0007165,GO:0005622,GO:0005488"
77683	"GO:0016020,GO:0008312,GO:0006614,GO:0005525,GO:0005524,GO:0004386,GO:0003676"
77704	"GO:0005622,GO:0003676"
78510	"GO:0016779,GO:0008152,GO:0003983"
78621	"GO:0008270,GO:0005622,GO:0003676"
78826	"GO:0006350,GO:0003899,GO:0003677,GO:0005634,GO:0034062,GO:0003902,GO:0003901,GO:0003900"
78827	"GO:0008270,GO:0005622,GO:0003676"
79086	"GO:0008270,GO:0003676,GO:0003824"
79392	GO:0016787
79441	"GO:0006412,GO:0005840,GO:0005622,GO:0003735"
79505	"GO:0006333,GO:0005634,GO:0003682,GO:0000785,GO:0016887,GO:0005524,GO:0017111,GO:0000166,GO:0005488"
79518	"GO:0005975,GO:0004553,GO:0006032,GO:0004568,GO:0008843"
79768	"GO:0008168,GO:0006139,GO:0005634,GO:0016422"
79903	"GO:0006412,GO:0005840,GO:0005622,GO:0003735,GO:0015935"
80231	"GO:0008152,GO:0003824,GO:0001760"
80842	GO:0016985
80861	"GO:0016787,GO:0008235,GO:0006508,GO:0008451"
81011	"GO:0008270,GO:0005622"
81535	"GO:0030529,GO:0016071"
81883	GO:0008234
81895	"GO:0035023,GO:0005622,GO:0005089"
81933	"GO:0035023,GO:0005622,GO:0005089"
82123	"GO:0008270,GO:0005622"
82708	GO:0005525
82716	"GO:0016884,GO:0004040"
83554	GO:0016021
83591	"GO:0016491,GO:0008152"
83687	GO:0005634
83813	GO:0005634
83884	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
83946	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
84129	"GO:0016491,GO:0005507,GO:0008447"
84291	"GO:0008152,GO:0003824,GO:0031177,GO:0016874,GO:0050564"
84800	"GO:0016624,GO:0008152,GO:0017086,GO:0003863"
85020	"GO:0008270,GO:0005515"
85108	"GO:0051082,GO:0016272,GO:0006457"
85697	"GO:0030693,GO:0006508"
86302	GO:0003676
86400	"GO:0003963,GO:0016886,GO:0006396,GO:0003824"
87171	"GO:0004523,GO:0003676"
87256	"GO:0003824,GO:0017168"
87695	"GO:0043733,GO:0019104,GO:0017065,GO:0004844,GO:0000701"
87733	"GO:0016887,GO:0005524,GO:0017111,GO:0000166,GO:0008559"
87864	"GO:0005524,GO:0003677,GO:0006333,GO:0005634,GO:0003682,GO:0000785,GO:0004386,GO:0003676"
88066	"GO:0020037,GO:0006118,GO:0005506,GO:0004497,GO:0050381"
88195	"GO:0008270,GO:0005622,GO:0003676"
88207	GO:0033745
88348	"GO:0016491,GO:0006631,GO:0008691"
88553	"GO:0006511,GO:0004221"
88674	"GO:0005515,GO:0000166"
88720	GO:0003676
88807	"GO:0050660,GO:0016614,GO:0006066,GO:0047639"
88877	"GO:0005515,GO:0030127,GO:0008270,GO:0006888,GO:0006886"
88948	"GO:0008324,GO:0006812,GO:0016021,GO:0015079,GO:0006813"
89209	"GO:0006979,GO:0006118,GO:0004096,GO:0020037,GO:0005506"
89228	"GO:0008270,GO:0005622,GO:0003676"
89317	GO:0003676
89365	"GO:0008152,GO:0008080"
89384	"GO:0005524,GO:0004386,GO:0003676"
89575	"GO:0042254,GO:0005622"
89736	"GO:0008270,GO:0005622,GO:0003676"
89871	"GO:0020037,GO:0006118,GO:0005506,GO:0004497"
89890	"GO:0016788,GO:0006629"
90750	"GO:0009073,GO:0004107"
90919	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004714"
91065	"GO:0045282,GO:0045281,GO:0016020,GO:0006118,GO:0006099,GO:0000104"
91347	"GO:0008270,GO:0003676"
91806	"GO:0006468,GO:0005524,GO:0004713"
91888	GO:0003676
92045	"GO:0006396,GO:0005622,GO:0005634,GO:0000398"
92339	"GO:0008652,GO:0004072"
93300	"GO:0008270,GO:0005622,GO:0003676"
93392	"GO:0016021,GO:0015385,GO:0006885,GO:0006814,GO:0015299"
93414	"GO:0006396,GO:0004525,GO:0003723"
93582	"GO:0005975,GO:0004553"
93776	"GO:0006031,GO:0004100"
94418	GO:0003676
94473	GO:0004364
94732	GO:0003676
94782	"GO:0003723,GO:0009982,GO:0001522,GO:0042300,GO:0042299"
94783	GO:0008152
95902	GO:0003676
96421	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
96494	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004713,GO:0004682"
96514	"GO:0008076,GO:0006813,GO:0005249,GO:0016020,GO:0006811,GO:0005216"
96861	"GO:0006468,GO:0005524,GO:0004672"
97096	"GO:0006725,GO:0006118,GO:0004497"
97119	"GO:0016787,GO:0008806"
97373	"GO:0006468,GO:0005524,GO:0004672,GO:0004713"
98238	GO:0005488
98276	GO:0008270
98504	"GO:0006414,GO:0005853,GO:0003746"
98838	"GO:0008270,GO:0005622,GO:0003676"
99116	"GO:0007264,GO:0005525,GO:0005622"
99982	GO:0003677
100207	"GO:0005524,GO:0004386,GO:0003676,GO:0008026"
100608	"GO:0008270,GO:0003676"
100839	"GO:0008270,GO:0003676"
101052	"GO:0006468,GO:0005524,GO:0004674,GO:0004686"
101701	GO:0003677
101886	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004713,GO:0004682"
102008	GO:0003676
102029	"GO:0006468,GO:0005524,GO:0004672,GO:0004715"
102032	"GO:0006468,GO:0005524,GO:0004672,GO:0004713,GO:0004715"
102475	"GO:0006468,GO:0005524,GO:0004674"
102711	GO:0004100
105173	"GO:0016491,GO:0010181,GO:0016629"
108662	GO:0003676
109226	"GO:0008234,GO:0006508"
109249	"GO:0006259,GO:0005694,GO:0005524"
110580	"GO:0005975,GO:0004553"
113352	"GO:0016787,GO:0008270,GO:0003824,GO:0004132"
113878	"GO:0006396,GO:0004525,GO:0003723,GO:0005622"
121644	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0004682"
122302	"GO:0008152,GO:0006529,GO:0004066"
123736	"GO:0006259,GO:0005694,GO:0005524,GO:0051276,GO:0005515"
125801	"GO:0046677,GO:0016021,GO:0015904,GO:0015520"
133835	"GO:0008270,GO:0005515"
136356	"GO:0006468,GO:0005524,GO:0004672,GO:0004674,GO:0005525,GO:0004715"
144787	"GO:0045449,GO:0030528,GO:0008270,GO:0005634"
162685	"GO:0016491,GO:0005507,GO:0008447"
164412	"GO:0008270,GO:0006355,GO:0005634,GO:0003700"
170140	GO:0050540
174409	"GO:0006810,GO:0005743,GO:0005488,GO:0004427"
174519	"GO:0006355,GO:0005634,GO:0003700,GO:0008270,GO:0005622,GO:0003676"
175304	"GO:0046961,GO:0042626,GO:0016469,GO:0016021,GO:0005524,GO:0046933,GO:0016020,GO:0015986"
