"","gene","p.val","rank"
"1904","2867269",0.00393473647753233,2.40508434848558
"1905","2108501",0.00394011455736615,2.40449115104023
"1906","2767494",0.00394737745032965,2.40369134414975
"1907","2869471",0.00395468305048601,2.40288831746107
"1908","2859212",0.00395479619690031,2.40287589215168
"1909","2915299",0.00395956973074441,2.40235200440678
"1910","2860967",0.00396953053196247,2.40126085329591
"1911","2866467",0.00397107083132484,2.40109236642915
"1912","1606947",0.00397802017424204,2.4003330187129
"1913","2919173",0.00401418140474612,2.39640300521673
"1914","2903714",0.00404129527441534,2.39347941697522
"1915","2863042",0.00404488766579838,2.39309353506563
"1916","2857028",0.00405298147688221,2.3922253810859
"1917","2857298",0.00407905127354779,2.38944083558045
"1918","2859595",0.00408742748614349,2.3885499389548
"1919","2857582",0.00408742939690612,2.38854973593383
"1920","2892843",0.00415576434635584,2.38134908719256
"1921","2862123",0.00416860207742365,2.38000955937769
"1922","2811933",0.00417162170199545,2.37969508188141
"1923","2845424",0.0041901240504465,2.37777311936619
"1924","2843684",0.00419167565335511,2.3776123298907
"1925","2375849",0.00419679508825312,2.37708223503284
"1926","88674",0.00420263694308988,2.37647812615517
"1927","2476168",0.00420677422322821,2.37605079585972
"1928","75260",0.0042182091819385,2.37487188730184
"1929","24051",0.00423002995464495,2.37365655718974
"1930","2718303",0.00423663864440889,2.37297857669567
"1931","2812515",0.00423896607095664,2.37274005954767
"1932","2871868",0.00425138896751324,2.37146915880218
"1933","2771059",0.00425758313867406,2.3708368627277
"1934","2841698",0.00427302737826906,2.36926432454927
"1935","2853783",0.00427719362880697,2.36884108876144
"1936","2791051",0.00429263845654061,2.36727568802684
"1937","2727056",0.00429266925447991,2.36727257215132
"1938","276912",0.00430968009039266,2.36555496652921
"1939","2873375",0.0043113721632797,2.36538448666071
"1940","1877437",0.0043284975299025,2.36366282598082
"1941","2584918",0.00434000232148747,2.36251003818128
"1942","516067",0.00435332611275085,2.36117879811638
"1943","1042247",0.00435627615770169,2.36088459678485
"1944","800279",0.00435934734218385,2.36057852607661
"1945","2857248",0.00439065234823491,2.35747094896267
"1946","2797005",0.00439536891170718,2.35700466789512
"1947","2767014",0.00442195073932781,2.35438609978473
"1948","2769169",0.00442670273436669,2.35391964114716
"1949","1885182",0.00442826161120802,2.353766729946
"1950","2770522",0.00442843688881143,2.35374954022323
"1951","2850607",0.00444205466668373,2.35241610105702
"1952","400858",0.00444252914571541,2.3523697142752
"1953","2977987",0.00444297546979234,2.35232608454514
"1954","2779225",0.00448684267067682,2.34805915856027
"1955","2909429",0.00449105118307255,2.34765199539391
"1956","2262042",0.00449282979751458,2.34748003353258
"1957","2848812",0.00449374755454281,2.34739132861215
"1958","106445",0.00450330977267785,2.34646817785665
"1959","2920143",0.00450376853350827,2.34642393769562
"1960","2805682",0.00451160318115082,2.34566910579227
"1961","2839888",0.00452724768813205,2.34416574437236
